setting,stress_kind,protocol,stress_level,method,n,covered_ratio_after_mean,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
batch2,coverage,weak_attack_strategy_ood,0.45,cdro_ug,3,0.549962434259955,0.912287670714637,0.0016053888996874152,0.19884726224783864,0.00998300177273128,0.1516651064157486,0.09584327272427075
batch2,coverage,weak_attack_strategy_ood,0.45,noisy_ce,3,0.549962434259955,0.9152051296546074,0.00702736801135366,0.18924111431316043,0.011998074924876841,0.1543776566783587,0.09602549032091959
batch2,coverage,weak_attack_strategy_ood,0.45,posterior_ce,3,0.549962434259955,0.9159295643380866,0.008577941453792691,0.18539865513928913,0.0334012269946469,0.18293355156977972,0.07559407821680875
batch2,coverage,weak_topology_ood,0.0,cdro_ug,3,1.0,0.8877829383342415,0.00531618429110218,0.19692603266090297,0.031082977305213137,0.18583990633487701,0.02082216354138498
batch2,coverage,weak_topology_ood,0.0,noisy_ce,3,1.0,0.9044845099645533,0.01401748031954958,0.24399615754082613,0.044769184237199014,0.18491453429063162,0.03835178714796371
batch2,coverage,weak_topology_ood,0.0,posterior_ce,3,1.0,0.8790877738525027,0.0033554325512285673,0.1873198847262248,0.029949005318193857,0.23653905590375265,0.018570444266892333
batch2,coverage,weak_topology_ood,0.15,cdro_ug,3,0.8500797448165869,0.8912318915005807,0.005828726854561818,0.2026897214217099,0.02124240575167722,0.18989072740077972,0.018770756845787422
batch2,coverage,weak_topology_ood,0.15,noisy_ce,3,0.8500797448165869,0.9046760278185281,0.016355731721906075,0.2468780019212296,0.05394003896778659,0.18794007102648416,0.03948302060026195
batch2,coverage,weak_topology_ood,0.15,posterior_ce,3,0.8500797448165869,0.8775757757685642,0.008501646687947602,0.1978866474543708,0.016886067080928865,0.214749276638031,0.05223595051004273
batch2,coverage,weak_topology_ood,0.3,cdro_ug,3,0.7001594896331739,0.8897694280832598,0.013716976043360004,0.22190201729106626,0.04245221862436955,0.21336483458677927,0.003922571201377252
batch2,coverage,weak_topology_ood,0.3,noisy_ce,3,0.7001594896331739,0.9053913958210357,0.01393110770971423,0.24495677233429394,0.04085719561601679,0.18443878988424936,0.04002990102686529
batch2,coverage,weak_topology_ood,0.3,posterior_ce,3,0.7001594896331739,0.8853022186695627,0.0010916261113371642,0.19596541786743515,0.03397644415720921,0.2356268068154653,0.012321759502513645
batch2,coverage,weak_topology_ood,0.45,cdro_ug,3,0.5502392344497608,0.8945667496379895,0.006072866357900269,0.22190201729106626,0.04245221862436955,0.21848717331886292,0.0029465134319542497
batch2,coverage,weak_topology_ood,0.45,noisy_ce,3,0.5502392344497608,0.9065160994951544,0.015239758176759408,0.25456292026897215,0.05076737852727691,0.18542386094729105,0.039479747561878144
batch2,coverage,weak_topology_ood,0.45,posterior_ce,3,0.5502392344497608,0.8919880614301634,0.006989823277058185,0.20076849183477427,0.04048281941538036,0.23961578806241354,0.0057618188746420464
